Percentage served,Time in ms
0,302.536
1,440.196
2,468.035
3,507.986
4,3317.885
5,9241.789
6,20998.198
7,20998.624
8,20998.930
9,20999.068
10,20999.215
11,20999.299
12,20999.420
13,20999.469
14,20999.560
15,20999.626
16,20999.684
17,20999.763
18,20999.834
19,20999.935
20,21000.008
21,21000.105
22,21000.158
23,21000.237
24,21000.291
25,21000.381
26,21000.454
27,21000.509
28,21000.610
29,21000.737
30,21000.825
31,21000.977
32,21001.137
33,21001.379
34,21001.525
35,21001.819
36,21002.159
37,21002.433
38,21002.888
39,21003.169
40,21003.466
41,21003.644
42,21004.019
43,21004.258
44,21004.475
45,21004.753
46,21005.158
47,21005.432
48,21005.784
49,21006.054
50,21006.265
51,21006.757
52,21007.287
53,21007.570
54,21007.862
55,21008.436
56,21009.080
57,21010.051
58,21010.999
59,21011.690
60,21012.304
61,21014.144
62,21014.712
63,21015.163
64,21015.566
65,21015.822
66,21016.107
67,21016.296
68,21016.658
69,21016.878
70,21017.140
71,21017.347
72,21017.645
73,21017.998
74,21018.276
75,21018.644
76,21019.149
77,21019.427
78,21019.752
79,21020.595
80,21021.452
81,21022.167
82,21022.448
83,21023.082
84,21023.579
85,21024.145
86,21025.122
87,21027.400
88,21029.017
89,21030.533
90,21031.697
91,21032.650
92,21033.718
93,21036.503
94,21039.531
95,21042.075
96,21044.134
97,21047.665
98,21048.746
99,21058.025
